Stn	T4700	G150	T1966	T461	T1338	T3133	Spp
Lurefjord 3	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Lurefjord 3	67-67	161-161	99-99	134-134	72-72	107-107	Calanus glacialis
Lurefjord 3	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Lurefjord 3	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Lurefjord 3	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Lurefjord 3	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Lurefjord 3	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Lurefjord 3	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Lurefjord 3	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Lurefjord 3	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Lurefjord 3	67-67	161-161	99-99	136-139	72-72	107-107	Calanus glacialis
Lurefjord 3	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Lurefjord 3	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Lurefjord 3	67-67	161-161	99-99	134-134	72-72	107-107	Calanus glacialis
Lurefjord 3	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Lurefjord 3	67-67	161-161	99-99	134-134	72-72	107-107	Calanus glacialis
Lurefjord 3	67-67	161-161	99-99	134-136	72-72	107-107	Calanus glacialis
Lurefjord 3	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Lurefjord 3	67-67	161-161	99-99	NA	72-72	107-107	Calanus glacialis
Lurefjord 3	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Lurefjord 3	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Lurefjord 3	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Lurefjord 3	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Lurefjord 3	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Lurefjord 3	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Lurefjord 3	67-67	161-161	99-99	136-136	72-72	NA	Calanus glacialis
Lurefjord 3	67-67	161-161	99-99	136-136	72-72	NA	Calanus glacialis
Lurefjord 3	67-67	161-161	99-99	134-134	72-72	NA	Calanus glacialis
Lurefjord 3	67-67	161-161	99-99	136-136	72-72	NA	Calanus glacialis
Lurefjord 3	67-67	161-161	99-99	136-136	72-72	NA	Calanus glacialis
Lurefjord 3	70-70	131-131	102-102	141-141	75-75	NA	Calanus finmarchicus
Lurefjord 3	67-67	161-161	99-99	136-136	72-72	NA	Calanus glacialis
Lurefjord 3	67-67	161-161	99-99	136-136	72-72	NA	Calanus glacialis
Lurefjord 3	67-67	161-161	99-99	136-136	72-72	NA	Calanus glacialis
Lurefjord 3	67-67	161-161	99-99	134-134	72-72	NA	Calanus glacialis
Lurefjord 3	67-67	161-161	99-99	136-136	72-72	NA	Calanus glacialis
Lurefjord 3	67-67	161-161	99-99	136-136	72-72	NA	Calanus glacialis
Lurefjord 3	67-67	161-161	99-99	136-136	72-72	NA	Calanus glacialis
Lurefjord 3	67-67	161-161	99-99	134-136	72-72	NA	Calanus glacialis
Lurefjord 3	67-67	161-161	99-99	136-136	72-72	NA	Calanus glacialis
Lurefjord 3	67-67	161-161	99-99	136-136	72-72	NA	Calanus glacialis
Lurefjord 3	67-67	161-161	99-99	136-136	72-72	NA	Calanus glacialis
Lurefjord 3	67-67	161-161	99-99	136-136	72-72	NA	Calanus glacialis
Lurefjord 3	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Lurefjord 3	67-67	161-161	99-99	136-136	72-72	NA	Calanus glacialis
Lurefjord 3	67-67	161-161	99-99	136-136	72-72	NA	Calanus glacialis
Lurefjord 3	67-67	161-161	99-99	136-136	72-72	NA	Calanus glacialis
Lurefjord 3	67-67	161-161	99-99	136-136	72-72	NA	Calanus glacialis
Mistfjord 2	67-67	161-161	99-99	136-136	72-72	105-105	Calanus glacialis
Mistfjord 2	67-67	161-161	NA	NA	72-72	107-107	Calanus glacialis
Mistfjord 2	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Mistfjord 2	67-67	161-161	NA	136-136	72-72	NA	Calanus glacialis
Mistfjord 2	70-70	131-131	102-102	143-143	75-75	113-115	Calanus finmarchicus
Mistfjord 2	70-70	131-131	99-102	141-141	NA	115-115	Calanus finmarchicus
Mistfjord 2	67-67	161-161	99-99	NA	72-72	NA	Calanus glacialis
Mistfjord 2	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Mistfjord 2	67-67	161-161	99-99	136-136	72-72	105-107	Calanus glacialis
Mistfjord 2	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Mistfjord 2	67-67	161-161	99-99	134-134	72-72	107-107	Calanus glacialis
Mistfjord 2	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Mistfjord 2	70-70	131-131	102-102	NA	75-75	113-115	Calanus finmarchicus
Mistfjord 2	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Mistfjord 2	67-67	161-161	NA	136-136	72-72	NA	Calanus glacialis
Mistfjord 2	67-67	161-161	99-99	134-136	72-72	107-107	Calanus glacialis
Mistfjord 2	70-70	131-131	102-102	141-141	75-75	NA	Calanus finmarchicus
Mistfjord 2	70-70	131-131	102-102	NA	NA	115-115	Calanus finmarchicus
Mistfjord 2	67-67	161-161	NA	136-136	72-72	107-107	Calanus glacialis
Mistfjord 2	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Mistfjord 2	70-70	131-131	102-102	143-143	75-75	113-115	Calanus finmarchicus
Mistfjord 2	67-67	161-161	99-99	136-136	72-72	105-105	Calanus glacialis
Mistfjord 2	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Mistfjord 2	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Mistfjord 2	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Mistfjord 2	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Mistfjord 2	70-70	131-131	102-102	141-143	NA	115-115	Calanus finmarchicus
Mistfjord 2	70-70	131-131	102-102	141-141	NA	110-115	Calanus finmarchicus
Mistfjord 2	70-70	131-131	102-102	143-143	75-75	113-115	Calanus finmarchicus
Mistfjord 2	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Mistfjord 2	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Mistfjord 2	67-67	161-161	99-99	134-136	72-72	107-107	Calanus glacialis
Mistfjord 2	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Mistfjord 2	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Mistfjord 2	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Mistfjord 2	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Mistfjord 2	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Mistfjord 2	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Mistfjord 2	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Mistfjord 2	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Mistfjord 2	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Mistfjord 2	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Mistfjord 2	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Mistfjord 2	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Mistfjord 2	67-67	161-161	99-99	136-136	72-72	107-107	Calanus finmarchicus
Mistfjord 2	70-70	131-131	102-102	141-141	75-75	113-113	Calanus finmarchicus
Mistfjord 2	70-70	131-131	102-102	143-143	75-75	113-115	Calanus finmarchicus
Mistfjord 2	70-70	131-131	102-102	141-143	75-75	113-115	Calanus finmarchicus
Mistfjord 2	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Mistfjord 2	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Mistfjord 2	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Mistfjord 2	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Mistfjord 2	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Mistfjord 2	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Mistfjord 2	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Mistfjord 2	67-67	161-161	99-99	134-136	72-72	105-107	Calanus glacialis
Mistfjord 2	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Mistfjord 2	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Mistfjord 2	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Mistfjord 2	67-67	161-161	99-99	134-136	72-72	107-107	Calanus glacialis
Mistfjord 2	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Mistfjord 2	70-70	131-131	102-102	141-141	75-75	113-115	Calanus finmarchicus
Mistfjord 2	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Mistfjord 2	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Mistfjord 2	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Mistfjord 2	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Mistfjord 2	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Mistfjord 2	70-70	131-131	102-102	143-143	75-75	113-113	Calanus finmarchicus
Mistfjord 2	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Mistfjord 2	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Mistfjord 2	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Myken1	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Myken1	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Myken1	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Myken1	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Myken1	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Myken1	70-70	131-131	102-102	143-143	NA	113-113	Calanus finmarchicus
Myken1	70-70	131-131	102-102	141-141	NA	115-115	Calanus finmarchicus
Myken1	70-70	131-131	102-102	141-141	75-75	115-116	Calanus finmarchicus
Myken1	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Myken1	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Myken1	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Myken1	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Myken1	70-70	131-131	102-102	141-141	NA	115-115	Calanus finmarchicus
Myken1	70-70	131-131	102-102	143-143	75-75	113-115	Calanus finmarchicus
Myken1	67-67	161-161	99-99	136-136	72-72	105-107	Calanus glacialis
Myken1	70-70	131-131	102-102	143-143	75-75	113-115	Calanus finmarchicus
Myken1	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Myken1	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Myken1	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Myken1	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Myken1	70-70	131-131	102-102	143-143	75-75	113-115	Calanus finmarchicus
Myken1	70-70	131-131	102-102	141-141	NA	115-115	Calanus finmarchicus
Myken1	70-70	131-131	102-102	139-143	75-75	115-115	Calanus finmarchicus
Myken1	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Myken1	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Myken1	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Myken1	70-70	131-131	102-102	141-141	75-75	113-115	Calanus finmarchicus
Myken1	70-70	131-131	102-102	141-143	NA	115-115	Calanus finmarchicus
Myken1	70-70	131-131	102-102	NA	75-75	115-119	Calanus finmarchicus
Myken1	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Myken1	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Myken1	70-70	131-131	102-102	143-143	75-75	113-115	Calanus finmarchicus
Myken1	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Myken1	70-70	131-131	102-102	139-139	75-75	115-115	Calanus finmarchicus
Myken1	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Myken1	70-70	131-131	102-102	141-143	NA	113-115	Calanus finmarchicus
Myken1	70-70	131-131	102-102	143-143	75-75	113-113	Calanus finmarchicus
Myken1	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Myken1	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Myken1	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Myken1	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Myken1	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Myken1	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Myken1	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Myken1	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Myken1	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Myken1	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Myken2	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Myken2	70-70	131-131	102-102	141-143	NA	115-115	Calanus finmarchicus
Myken2	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Myken2	70-70	131-131	102-102	141-141	NA	115-115	Calanus finmarchicus
Myken2	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Myken2	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Myken2	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Myken2	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Myken2	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Myken2	70-70	131-131	102-102	141-141	NA	115-115	Calanus finmarchicus
Myken2	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Myken2	70-70	131-131	102-102	143-143	75-75	113-115	Calanus finmarchicus
Myken2	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Myken2	70-70	131-131	102-102	143-143	NA	113-113	Calanus finmarchicus
Myken2	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Myken2	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Myken2	70-70	131-131	102-102	141-143	75-75	113-113	Calanus finmarchicus
Myken2	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Myken2	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Myken2	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Myken2	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Myken2	70-70	131-131	102-102	141-143	NA	115-119	Calanus finmarchicus
Myken2	70-70	131-131	102-102	141-141	NA	115-115	Calanus finmarchicus
Myken2	70-70	131-131	102-102	143-143	75-75	113-115	Calanus finmarchicus
Myken2	70-70	131-131	102-102	141-141	NA	115-115	Calanus finmarchicus
Myken2	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Myken2	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Myken2	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Myken2	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Myken2	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Myken2	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Myken2	70-70	131-131	102-102	NA	75-75	110-113	Calanus finmarchicus
Myken2	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Myken2	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Myken2	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Myken2	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Myken2	70-70	131-131	102-102	141-141	NA	115-115	Calanus finmarchicus
Myken2	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Myken2	70-70	131-131	102-102	141-143	75-75	113-115	Calanus finmarchicus
Myken2	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Myken2	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Myken2	70-70	131-131	102-102	141-141	NA	113-115	Calanus finmarchicus
Myken2	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Myken2	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Myken2	70-70	131-131	102-102	141-141	75-75	113-115	Calanus finmarchicus
Myken3	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Myken3	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Myken3	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Myken3	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Myken3	70-70	131-131	102-102	143-143	75-75	115-119	Calanus finmarchicus
Myken3	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Myken3	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Myken3	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Myken3	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Myken3	70-70	131-131	102-102	143-143	NA	113-115	Calanus finmarchicus
Myken3	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Myken3	70-70	131-131	102-102	143-143	75-75	113-113	Calanus finmarchicus
Myken4	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Myken4	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Myken4	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Myken4	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Myken4	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Myken4	70-70	131-131	102-102	141-141	NA	115-115	Calanus finmarchicus
Myken4	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Myken4	70-70	131-131	102-102	141-141	NA	110-115	Calanus finmarchicus
Myken4	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Myken4	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Myken4	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Myken4	70-70	131-131	102-102	141-141	75-75	113-113	Calanus finmarchicus
Myken5	70-70	131-131	102-102	143-146	75-75	115-115	Calanus finmarchicus
Myken5	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Myken5	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Myken5	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Myken5	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Myken5	70-70	131-131	102-102	141-143	75-75	113-115	Calanus finmarchicus
Myken5	70-70	131-131	102-102	141-141	NA	115-115	Calanus finmarchicus
Myken5	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Myken5	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Myken5	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Myken5	70-70	131-131	102-102	141-141	75-75	113-115	Calanus finmarchicus
Myken5	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Myken6	70-70	131-131	102-102	143-143	NA	115-116	Calanus finmarchicus
Myken6	70-70	131-131	102-102	141-141	NA	115-115	Calanus finmarchicus
Myken6	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Myken6	70-70	131-131	102-102	141-141	NA	115-115	Calanus finmarchicus
Myken6	70-70	131-131	102-102	NA	75-75	115-115	Calanus finmarchicus
Myken6	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Myken6	70-70	131-131	102-102	143-143	75-75	113-115	Calanus finmarchicus
Myken6	70-70	131-131	102-102	141-143	NA	115-115	Calanus finmarchicus
Oslofjord	70-70	131-131	102-102	141-141	72-72	115-115	Calanus finmarchicus
Oslofjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Oslofjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Oslofjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Oslofjord	70-70	131-131	102-102	141-141	75-75	NA	Calanus finmarchicus
Oslofjord	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Oslofjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Oslofjord	70-70	131-131	102-102	NA	75-75	115-115	Calanus finmarchicus
Oslofjord	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Oslofjord	70-70	131-131	102-102	143-143	75-75	113-115	Calanus finmarchicus
Oslofjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Oslofjord	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Oslofjord	70-70	131-131	102-102	143-143	75-75	113-113	Calanus finmarchicus
Oslofjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Oslofjord	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Oslofjord	70-70	131-131	102-102	143-143	75-75	113-115	Calanus finmarchicus
Oslofjord	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Oslofjord	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Oslofjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Oslofjord	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Oslofjord	70-70	131-131	102-102	139-143	75-75	115-115	Calanus finmarchicus
Oslofjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Oslofjord	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Oslofjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Oslofjord	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Oslofjord	70-70	131-131	NA	143-143	NA	115-115	Calanus finmarchicus
Oslofjord	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Oslofjord	70-70	131-131	102-102	143-143	75-75	113-113	Calanus finmarchicus
Oslofjord	70-70	131-131	102-102	141-141	75-75	113-115	Calanus finmarchicus
Oslofjord	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Oslofjord	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Oslofjord	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Osterfjord	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Osterfjord	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Osterfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Osterfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Osterfjord	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Osterfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Osterfjord	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Osterfjord	70-70	131-131	102-102	141-141	75-75	NA	Calanus finmarchicus
Osterfjord	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Osterfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Osterfjord	70-70	131-131	102-102	134-143	75-75	115-115	Calanus finmarchicus
Osterfjord	70-70	131-131	102-102	NA	75-75	115-115	Calanus finmarchicus
Osterfjord	70-70	131-131	102-102	141-141	75-75	NA	Calanus finmarchicus
Osterfjord	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Osterfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Osterfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Osterfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Osterfjord	70-70	131-131	102-102	NA	75-75	115-115	Calanus finmarchicus
Osterfjord	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Osterfjord	70-70	131-131	NA	143-143	75-75	115-115	Calanus finmarchicus
Osterfjord	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Osterfjord	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Osterfjord	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Osterfjord	70-70	131-131	102-102	143-146	75-75	115-115	Calanus finmarchicus
Osterfjord	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Osterfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Osterfjord	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Osterfjord	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Osterfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Osterfjord	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Osterfjord	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Osterfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Osterfjord	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Osterfjord	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Osterfjord	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Osterfjord	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Osterfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Osterfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Osterfjord	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Osterfjord	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Osterfjord	70-70	131-131	102-102	139-139	75-75	115-115	Calanus finmarchicus
Osterfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Porsangerfjord 2	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Porsangerfjord 2	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Porsangerfjord 2	70-70	131-131	102-102	141-141	75-75	113-113	Calanus finmarchicus
Porsangerfjord 2	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Porsangerfjord 2	70-70	131-131	102-102	141-141	75-75	113-115	Calanus finmarchicus
Porsangerfjord 2	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Porsangerfjord 2	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Porsangerfjord 2	70-70	131-131	102-102	141-143	75-75	113-113	Calanus finmarchicus
Porsangerfjord 2	70-70	131-131	102-102	141-141	75-75	113-115	Calanus finmarchicus
